name,city,country
Big Ben,London,England
St. Paul’s Cathedral,London,England
Tower Bridge,London,England
Nelson’s Column,London,England
London Eye,London,England
Houses of Parliament,London,England
Buckingham Palace,London,England
Tower of London,London,England
10 Downing Street,London,England
Piccadilly Circus,London,England
Eiffel Tower,Paris,France
Louvre Museum,Paris,France
Notre Dame Cathedral,Paris,France
Sacré-Coeur,Paris,France
Champs-Elysées,Paris,France
Arc de Triomphe,Paris,France
Versailles Palace,Paris,France
Jardin du Luxembourg,Paris,France
Jardin des Tuileries,Paris,France
Place de la Concorde,Paris,France
Colosseum,Rome,Italy
Trevi Fountain,Rome,Italy
St. Peter’s Basilica,Rome,Italy
Pantheon,Rome,Italy
Forum Romanum,Rome,Italy
Circus Maximus,Rome,Italy
Piazza Navona,Rome,Italy
Piazza di Spagna,Rome,Italy
Villa Borghese,Rome,Italy
Palatine Hill,Rome,Italy
Sagrada Família,Barcelona,Spain
Montjuïc,Barcelona,Spain
La Rambla,Barcelona,Spain
Güell Park,Barcelona,Spain
Casa Batlló,Barcelona,Spain
Casa Milà,Barcelona,Spain
La Seu Cathedral,Barcelona,Spain
Parc de la Ciutadella,Barcelona,Spain
Plaça de Catalunya,Barcelona,Spain
Magic Fountain,Barcelona,Spain
Trinity College and Library,Dublin,Ireland
O’Connell Street and the General Post Office,Dublin,Ireland
National Museum of Archaeology and History,Dublin,Ireland
St Patrick’s Cathedral,Dublin,Ireland
Temple Bar,Dublin,Ireland
National Gallery,Dublin,Ireland
Kilmainham Gaol,Dublin,Ireland
Dublin Castle,Dublin,Ireland
Phoenix Park,Dublin,Ireland
Guinness Storehouse,Dublin,Ireland
Basilica Cistern,Istanbul,Turkey
Aya Sofya,Istanbul,Turkey
Topkapi Palace,Istanbul,Turkey
Ayasofya Hürrem Sultan Hamam ,Istanbul,Turkey
Blue Mosque,Istanbul,Turkey
Istanbul Archaeology Museums,Istanbul,Turkey
Turkish and Islamic Arts Museum,Istanbul,Turkey
Süleymaniye Mosque,Istanbul,Turkey
Chora Museum,Istanbul,Turkey
Galata Tower,Istanbul,Turkey
Retiro Park,Madrid,Spain
Plaza Mayor,Madrid,Spain
Puerta del Sol,Madrid,Spain
Gran Via,Madrid,Spain
Royal Palace,Madrid,Spain
Plaza de España,Madrid,Spain
Plaza de Cibeles,Madrid,Spain
Prado Museum,Madrid,Spain
Alcala Gate,Madrid,Spain
Almudena Cathedral,Madrid,Spain
Amsterdam canal ring,Amsterdam,Netherlands
Het Scheepvaart Museum,Amsterdam,Netherlands
Rijksmuseum,Amsterdam,Netherlands
Van Gogh Museum,Amsterdam,Netherlands
Begijnhof,Amsterdam,Netherlands
Oude Kerk,Amsterdam,Netherlands
Amsterdam Brown Café,Amsterdam,Netherlands
Magere Brug,Amsterdam,Netherlands
Museum Amstelkring,Amsterdam,Netherlands
Anne Frank House,Amsterdam,Netherlands
Astronomical Clock,Prague,Czech Republic
The Lennon Wall,Prague,Czech Republic
Wenceslas Square,Prague,Czech Republic
Vysehrad Castle,Prague,Czech Republic
The Dancing House,Prague,Czech Republic
The Mucha Museum,Prague,Czech Republic
Old New Synagogue,Prague,Czech Republic
Petrin Hill,Prague,Czech Republic
The National Museum,Prague,Czech Republic
Prague Castle,Prague,Czech Republic
Hofburg,Vienna,Austria
Schönbrunn Palace,Vienna,Austria
Belvedere,Vienna,Austria
Stephansdom,Vienna,Austria
Hundertwasserhaus,Vienna,Austria
Michaelerplatz,Vienna,Austria
Ringstrasse,Vienna,Austria
Parlament,Vienna,Austria
MuseumsQuartier,Vienna,Austria
Peterskirche,Vienna,Austria
